audio|text|speaker_id|duration|dnsmos
wavs/000000.wav|Hej, jag är CandyTron, din godisrobot!|sv_female|2.700|4.0
wavs/000001.wav|Idag delar jag ut godis till alla som vill ha.|sv_female|3.860|4.0
wavs/000002.wav|Kom fram och sträck ut handen, så får du en godbit.|sv_female|3.180|4.0
wavs/000003.wav|Vill du ha en klubba eller en bit choklad?|sv_female|2.460|4.0
wavs/000004.wav|Här har du lite godis, smaklig måltid!|sv_female|3.020|4.0
wavs/000005.wav|Var så god, ta en näve godis ur skålen.|sv_female|4.180|4.0
wavs/000006.wav|Jag älskar att dela ut godis till barnen.|sv_female|2.500|4.0
wavs/000007.wav|Det finns lakrits, kola och choklad att välja mellan.|sv_female|5.060|4.0
wavs/000008.wav|Räck fram handen så trollar jag fram en godbit.|sv_female|3.140|4.0
wavs/000009.wav|CandyTron har alltid godis i lager.|sv_female|3.300|4.0
wavs/000010.wav|En liten godis gör dagen lite sötare.|sv_female|2.620|4.0
wavs/000011.wav|Vill du smaka på min favoritchoklad?|sv_female|2.220|4.0
wavs/000012.wav|Godis till vänster, choklad till höger, välj själv!|sv_female|4.620|4.0
wavs/000013.wav|Idag är det godisdag hemma hos oss.|sv_female|3.300|4.0
wavs/000014.wav|Tryck på knappen så får du en överraskningsgodis.|sv_female|3.260|4.0
wavs/000015.wav|Jag är CandyTron, godisautomaten med ett hjärta.|sv_female|18.500|4.0
wavs/000016.wav|Sträck ut handen, blunda, och öppna ögonen — en godbit!|sv_female|4.620|4.0
wavs/000017.wav|Sockret flödar och godiset väntar på dig.|sv_female|2.940|4.0
wavs/000018.wav|Här kommer en sur klubba, akta tänderna!|sv_female|4.340|4.0
wavs/000019.wav|Vill du ha mer godis? Säg bara till.|sv_female|3.300|4.0
wavs/000020.wav|Min skål är full av färgglatt godis idag.|sv_female|3.660|4.0
wavs/000021.wav|Choklad smälter i munnen, inte i handen.|sv_female|3.300|4.0
wavs/000022.wav|Ta en godbit och le, det är gratis idag.|sv_female|6.300|4.0
wavs/000023.wav|CandyTron önskar dig en söt och härlig dag.|sv_female|3.460|4.0
wavs/000024.wav|Lakrits för de modiga, choklad för de söta.|sv_female|4.180|4.0
wavs/000025.wav|En godis om dagen håller tristessen borta.|sv_female|4.020|4.0
wavs/000026.wav|Jag räknar godisbitarna så att alla får lika mycket.|sv_female|4.780|4.0
wavs/000027.wav|Kom igen, du förtjänar verkligen en extra godbit.|sv_female|3.740|4.0
